valor_transacao,hora_transacao,dia_semana,qtd_transacoes_24h,tempo_desde_ultima_transacao_min,distancia_localizacao_km,idade_conta_dias,qtd_dispositivos_distintos,score_credito,renda_mensal_estimada,qtd_transacoes_mes,media_valor_transacao_30d,desvio_valor_media,mesmo_destinatario_recente,tipo_chave_pix,tentativas_senha_errada,usa_vpn,transacao_internacional,valor_acumulado_24h,razao_valor_renda,fraude
24.45,13,1,4,376.88,0.15,377,2,610.0,4513.86,30,25.16,-0.03,0,1,0,0,0,75.13,0.01,0
245.82,16,0,6,23.46,1.27,514,1,850.0,2110.73,18,271.19,-0.09,1,1,0,0,1,1029.64,0.12,0
240.03,10,3,3,62.74,3.0,303,1,747.0,3070.83,25,201.38,0.19,0,1,0,0,0,548.3,0.08,0
77.6,7,2,2,206.85,5.13,412,2,691.0,9575.35,23,89.59,-0.13,1,1,0,0,0,51.68,0.01,0
200.02,9,5,1,251.6,17.67,359,1,728.0,1722.57,22,214.28,-0.07,0,1,0,0,0,142.47,0.12,0
214.64,7,4,5,122.46,8.39,497,3,752.0,8418.82,23,266.09,-0.19,1,1,0,0,0,578.77,0.03,0
23.32,16,3,3,51.62,1.74,523,1,509.0,2060.25,19,34.02,-0.31,1,0,0,0,0,48.17,0.01,0
27.81,10,3,3,18.72,0.21,715,1,,2677.22,20,31.87,-0.12,1,0,0,0,0,62.83,0.01,0
831.09,9,3,3,105.78,13.08,469,3,653.0,3296.19,28,621.31,0.34,1,2,0,0,0,1135.48,0.25,0
18.49,12,0,5,23.1,13.14,673,1,695.0,2429.39,23,22.73,-0.18,1,0,1,0,0,52.38,0.01,0
39.51,14,2,4,272.56,25.1,774,3,569.0,4080.48,24,28.94,0.35,0,1,1,0,0,78.37,0.01,0
63.43,7,3,7,33.83,2.41,1323,2,652.0,2768.36,28,52.15,0.21,0,1,0,0,0,260.69,0.02,0
27.59,10,3,4,261.81,10.09,370,1,602.0,1500.0,18,29.05,-0.05,1,3,0,0,0,39.55,0.02,0
35.49,16,6,1,230.06,1.31,204,2,686.0,5675.34,17,33.09,0.07,1,0,1,0,0,14.17,0.01,0
158.72,14,3,5,119.72,1.1,833,1,725.0,3935.6,25,198.95,-0.2,0,3,0,0,0,310.4,0.04,0
76.62,10,6,4,109.52,1.05,302,2,631.0,5143.85,23,110.88,-0.31,0,1,0,0,0,208.43,0.01,0
865.6,6,6,0,17.8,7.3,606,2,629.0,,25,787.38,0.1,1,0,1,0,0,0.0,0.19,0
869.32,8,6,8,77.14,171.94,188,3,395.0,2234.56,10,171.61,4.04,0,1,4,0,0,6520.11,0.39,1
23.39,11,4,1,94.67,93.93,791,3,706.0,9171.39,21,30.5,-0.23,1,2,1,0,0,7.98,0.0,0
5.14,20,1,3,67.19,1.07,581,3,695.0,5029.27,33,5.51,-0.06,1,0,0,0,0,10.36,0.0,0
8.46,13,2,3,,12.21,649,1,685.0,2230.38,22,5.02,0.57,1,0,0,0,0,20.26,0.0,0
39.71,12,6,4,3.0,6.82,312,1,671.0,3614.18,24,56.04,-0.29,1,1,0,0,0,66.25,0.01,0
1178.15,2,0,8,7.59,27.28,84,5,452.0,1000.0,12,225.51,4.21,0,1,2,1,1,5598.0,1.18,1
937.98,10,3,3,85.07,4.24,329,2,568.0,2320.99,31,562.61,0.67,0,1,0,0,0,1641.82,0.4,0
205.39,9,1,2,48.72,3.88,591,2,662.0,2383.92,27,143.64,0.43,1,0,0,0,0,273.39,0.09,0
167.87,13,0,3,14.82,7.72,907,2,636.0,5652.92,31,102.43,0.63,0,2,1,0,0,271.68,0.03,0
87.79,17,3,1,3.44,3.71,445,1,681.0,4160.03,23,119.11,-0.26,0,0,1,0,0,59.09,0.02,0
207.99,8,2,3,56.76,2.01,353,3,572.0,5378.74,21,180.29,0.15,0,0,1,0,0,271.81,0.04,0
14.1,14,5,4,264.07,6.42,1125,1,607.0,3318.61,21,17.02,-0.16,1,1,0,0,0,25.55,0.0,0
29.29,10,5,6,2.36,0.39,398,3,733.0,1500.0,29,40.29,-0.27,1,0,0,0,0,130.44,0.02,0
165.15,11,2,6,293.96,11.9,407,3,578.0,1500.0,25,220.85,-0.25,0,1,0,0,0,782.99,0.11,0
32.42,13,3,4,1.95,20.5,399,3,795.0,2757.86,23,38.05,-0.14,1,2,1,0,0,89.72,0.01,0
38.54,16,4,1,44.6,18.95,1230,1,719.0,4414.06,31,20.42,0.85,0,1,0,0,0,22.47,0.01,0
43.61,10,2,3,64.37,4.06,533,1,684.0,11122.15,28,52.24,-0.16,1,0,0,0,0,51.3,0.0,0
150.69,12,6,3,124.83,7.72,1122,1,708.0,1529.5,23,139.26,0.08,1,3,0,0,0,192.31,0.1,0
43.71,11,6,6,26.41,4.36,425,2,499.0,3989.07,24,56.22,-0.22,1,1,0,0,0,91.83,0.01,0
186.78,12,6,4,181.96,13.23,415,3,614.0,8145.99,19,125.13,0.49,0,2,0,0,0,566.55,0.02,0
158.5,11,3,1,168.25,8.33,436,1,573.0,3597.65,25,170.15,-0.07,0,1,0,1,0,101.62,0.04,0
421.43,17,3,3,138.4,9.94,177,1,764.0,3819.86,29,323.44,0.3,0,1,0,0,0,532.49,0.11,0
232.4,14,3,0,15.07,3.37,921,2,672.0,6874.1,25,196.93,0.18,1,1,1,0,0,0.0,0.03,0
145.32,10,1,3,163.89,12.38,782,1,679.0,,22,189.27,-0.23,0,0,0,0,0,236.29,0.03,0
73.47,10,3,3,28.26,32.12,605,1,722.0,4182.39,25,100.78,-0.27,1,0,0,0,0,74.72,0.02,0
48.63,11,2,2,25.15,24.69,172,1,753.0,4220.4,26,51.52,-0.06,1,1,0,0,0,35.94,0.01,0
274.59,10,0,4,125.13,15.01,348,2,706.0,5194.76,18,273.5,0.0,1,1,0,0,0,565.73,0.05,0
52.46,12,6,5,62.8,2.59,839,2,684.0,7969.24,35,27.86,0.85,1,1,0,0,0,119.45,0.01,0
38.98,12,2,4,69.6,3.54,872,3,635.0,1685.22,17,44.27,-0.12,0,0,0,0,1,70.95,0.02,0
54.55,10,0,6,189.02,2.06,533,1,715.0,5004.06,19,60.7,-0.1,1,2,0,0,0,102.68,0.01,0
98.61,10,5,3,214.11,3.96,764,3,773.0,2442.68,25,146.5,-0.32,1,1,0,0,0,130.01,0.04,0
43.48,19,4,2,,3.96,1136,2,840.0,5292.26,26,26.25,0.63,0,0,0,0,0,51.84,0.01,0
104.98,10,0,3,31.99,1.36,1400,2,665.0,,34,82.59,0.27,1,0,1,0,0,234.47,0.02,0
302.28,8,2,4,30.28,36.8,1229,2,751.0,3139.53,29,224.57,0.34,1,0,0,0,0,818.4,0.1,0
32.6,7,1,7,120.62,18.42,303,1,682.0,1758.91,23,18.61,0.71,0,2,0,0,0,79.06,0.02,0
59.59,10,4,4,305.54,23.68,761,2,717.0,5406.04,26,49.17,0.21,1,0,0,0,0,144.58,0.01,0
228.05,8,3,5,215.7,,383,1,691.0,1620.29,29,149.68,0.52,1,3,0,0,0,562.66,0.14,0
181.89,13,2,2,86.88,4.74,592,1,604.0,1628.97,40,192.61,-0.06,1,0,0,0,0,215.27,0.11,0
634.03,2,6,10,29.7,96.47,206,4,478.0,4404.7,14,182.18,2.47,0,3,3,1,1,5584.0,0.14,1
24.59,21,6,3,157.48,21.0,266,1,,3525.11,25,28.29,-0.13,1,1,0,0,0,34.95,0.01,0
64.45,11,2,4,5.6,2.63,880,2,733.0,5223.58,30,57.57,0.12,1,0,0,0,0,175.84,0.01,0
101.41,11,0,7,49.81,12.78,474,1,552.0,2278.03,26,133.39,-0.24,1,0,0,0,0,551.27,0.04,0
1998.77,16,3,1,334.51,5.55,695,2,576.0,3460.11,27,2351.69,-0.15,1,1,0,0,0,890.28,0.58,0
336.48,9,6,3,121.52,2.13,381,1,730.0,3245.12,18,207.46,0.62,0,2,1,0,0,335.7,0.1,0
7.92,11,0,2,12.57,3.15,265,1,533.0,3070.3,33,8.13,-0.02,1,0,0,0,1,9.03,0.0,0
73.0,16,1,4,107.78,16.66,278,1,655.0,1500.0,22,61.99,0.17,1,0,0,0,0,221.79,0.05,0
223.94,13,2,4,143.19,2.77,567,1,705.0,4157.39,33,156.39,0.43,1,0,1,0,0,567.28,0.05,0
546.31,15,6,18,9.7,56.2,349,2,428.0,2083.5,16,172.35,2.16,1,1,2,1,1,10562.37,0.26,1
139.91,8,0,2,46.06,7.1,556,1,686.0,9630.76,20,85.84,0.62,1,0,1,0,0,158.59,0.01,0
81.51,7,1,2,39.56,,1491,1,680.0,6357.66,36,53.16,0.52,0,2,0,0,0,97.54,0.01,0
21.07,10,1,3,180.15,66.49,680,1,,2987.22,19,25.24,-0.16,0,2,0,0,0,22.85,0.01,0
80.94,18,0,2,39.13,6.37,394,1,585.0,6221.36,28,85.98,-0.06,1,0,0,0,0,103.42,0.01,0
63.53,12,1,4,267.42,10.3,412,1,665.0,4608.44,32,87.27,-0.27,1,3,0,0,0,199.95,0.01,0
135.75,13,2,2,13.0,0.05,114,3,759.0,10390.33,29,143.18,-0.05,1,0,0,0,0,116.21,0.01,0
52.59,8,2,4,76.63,6.48,399,3,709.0,3374.23,38,28.43,0.82,1,2,1,0,0,142.76,0.02,0
