uso_dados_gb,minutos_voz,chamadas_suporte,num_produtos,tempo_contrato_meses,tipo_plano,metodo_pagamento,mensalidade_reais,atraso_pagamento_dias,tem_desconto,idade,regiao,tem_dependentes,nps_score,churn
5.26,152,3,4,27,2,0,127.28,0,0,60,1,1,10,0
13.61,76,1,1,5,0,0,57.45,0,0,62,3,0,0,0
19.24,464,2,4,39,0,2,93.49,0,0,31,1,0,-1,0
82.63,119,2,2,1,0,2,70.63,0,1,64,3,0,10,0
22.29,145,1,2,21,1,1,123.41,0,0,73,3,1,0,0
44.09,189,2,4,68,3,2,260.09,0,1,31,0,0,10,0
13.47,800,1,4,38,2,0,127.69,1,0,73,4,1,10,0
7.78,762,2,4,19,0,2,95.83,0,0,24,3,1,1,0
9.28,75,4,1,22,1,0,77.16,0,0,19,3,0,3,0
11.24,102,4,4,43,1,0,128.25,0,0,73,1,1,10,0
110.25,800,1,3,35,1,2,119.34,0,1,55,4,1,-1,0
10.41,800,0,4,23,2,0,121.6,0,1,63,4,0,-1,0
39.28,342,4,3,66,2,1,118.55,0,1,23,4,0,1,0
9.75,269,4,4,24,3,3,241.9,0,0,29,3,0,6,0
42.32,234,3,3,22,1,3,121.51,0,1,20,2,1,4,0
27.33,209,0,2,51,2,0,83.63,0,0,71,4,1,8,0
17.72,102,1,2,39,1,3,105.9,0,0,71,3,0,5,0
19.44,436,0,1,45,2,2,92.65,0,0,33,0,0,-1,1
11.9,126,1,3,67,0,0,100.94,1,0,54,2,1,10,0
28.7,386,0,1,12,1,3,105.55,0,0,46,3,0,4,0
13.96,250,2,4,59,2,3,135.21,0,0,72,1,0,-1,0
7.53,526,1,3,52,3,2,241.28,2,1,50,3,1,5,0
7.23,151,2,2,7,0,3,72.88,0,0,39,4,1,9,0
23.06,100,6,3,21,2,2,109.76,0,0,28,2,0,10,0
71.04,120,3,2,56,1,1,116.06,1,0,38,3,1,4,0
22.83,241,0,4,4,1,3,144.86,2,0,32,2,0,-1,0
18.27,219,4,4,34,2,2,131.86,0,1,65,3,0,-1,0
25.25,99,3,3,57,2,1,112.25,0,0,60,1,1,0,0
57.1,168,0,1,60,1,2,118.45,0,0,33,4,0,-1,0
23.94,258,3,2,35,0,1,68.64,0,1,19,1,0,5,0
14.46,401,0,3,63,1,1,137.68,0,0,50,3,0,2,0
48.67,240,2,3,66,2,0,126.96,0,1,68,3,0,-1,0
28.3,399,1,3,47,2,3,140.19,2,0,39,3,0,10,0
68.62,252,1,3,22,1,0,120.55,0,1,62,3,0,1,0
23.26,253,3,2,1,2,0,98.26,0,0,26,1,0,8,0
7.54,347,1,3,64,1,0,124.58,0,0,56,1,1,1,0
6.72,106,1,2,50,2,2,102.21,0,0,22,3,1,-1,0
75.24,800,1,4,16,1,3,132.89,0,0,41,1,0,3,0
79.75,258,0,4,21,2,3,119.86,0,0,74,3,1,-1,0
17.4,230,0,2,45,1,2,115.44,0,0,32,4,0,-1,0
14.78,291,2,1,36,1,3,101.28,0,0,67,4,0,-1,0
64.66,543,11,4,7,1,0,129.85,1,0,57,1,0,-1,0
8.28,327,1,1,21,1,1,88.27,3,0,26,1,0,1,1
9.82,382,2,1,13,1,3,102.34,0,0,48,0,1,1,0
33.6,260,4,2,62,1,3,106.99,0,0,23,3,0,5,0
14.65,114,0,4,51,1,2,135.01,0,0,19,0,0,9,0
20.0,39,2,2,42,2,3,104.73,0,0,29,3,1,6,0
17.62,437,0,3,68,3,3,251.69,0,1,56,1,0,-1,0
26.31,495,0,4,50,0,2,107.02,1,0,19,4,1,7,0
61.93,105,2,2,30,1,0,112.64,0,0,41,4,1,-1,0
21.6,97,1,2,57,2,2,89.85,0,1,28,3,0,7,0
33.62,107,1,1,30,2,0,78.01,0,1,52,1,0,-1,0
3.9,156,1,4,44,3,1,255.49,0,0,44,1,0,-1,0
19.32,125,1,4,4,2,3,141.97,0,0,52,1,1,7,0
10.23,258,2,1,54,0,2,54.04,0,0,37,1,1,7,0
7.58,264,0,4,62,1,0,137.03,1,0,66,3,0,2,0
9.95,242,2,2,13,0,1,85.86,2,0,69,0,1,7,0
15.37,161,1,3,3,2,1,115.71,0,1,55,1,1,7,0
41.79,123,2,2,28,2,0,98.96,0,0,61,3,1,10,0
6.95,82,0,2,60,1,1,120.55,0,0,53,3,0,7,0
20.58,155,1,3,43,2,2,120.17,0,0,22,3,1,-1,0
13.64,360,1,2,48,2,0,85.52,0,1,30,0,1,7,0
15.45,74,4,1,55,0,0,63.31,0,0,33,2,1,9,0
44.8,220,0,1,10,1,2,98.92,0,0,70,1,0,0,0
30.89,110,1,1,65,1,3,109.13,0,0,25,3,1,-1,0
58.55,92,3,3,6,2,2,105.82,0,0,23,4,0,-1,0
17.75,454,0,1,37,2,2,81.85,0,1,51,4,1,7,0
11.51,548,1,2,25,2,0,100.33,0,0,28,4,1,-1,0
16.79,328,1,2,12,3,2,216.76,1,0,27,3,0,-1,0
24.39,100,0,1,55,1,0,90.69,0,0,56,1,0,6,0
23.13,416,0,4,27,2,2,143.03,0,0,22,2,0,8,0
8.44,390,0,4,38,2,2,128.83,1,0,49,0,0,-1,1
21.59,800,1,1,59,2,0,85.71,0,1,53,1,0,-1,0
24.11,159,2,1,59,2,0,84.82,0,0,39,3,0,-1,0
150.5,302,6,4,66,2,0,132.28,0,0,48,2,1,8,0
90.15,124,2,1,44,0,0,59.35,0,0,72,4,1,1,0
10.15,61,2,1,52,0,1,42.53,0,1,41,3,0,-1,0
15.96,64,0,3,51,1,3,133.46,0,0,62,0,0,-1,0
6.23,242,5,4,9,0,2,110.13,0,1,51,3,1,9,0
12.52,138,4,3,38,0,3,86.41,0,1,31,1,0,7,0
25.85,335,0,1,33,2,1,90.66,1,0,38,0,1,5,0
52.7,366,3,4,54,1,3,134.77,0,0,24,3,0,10,0
11.21,236,1,3,64,2,2,126.62,0,0,39,3,0,-1,0
11.9,78,2,2,51,0,2,92.15,0,0,46,2,1,9,0
3.6,117,3,3,5,2,2,123.76,0,1,30,4,0,-1,0
17.63,275,0,3,18,2,2,111.22,0,0,48,4,0,7,0
8.59,296,2,2,42,2,2,110.47,0,0,43,0,0,-1,0
13.15,299,1,3,47,1,1,126.24,0,1,62,0,1,10,0
9.96,429,1,4,19,1,2,144.96,0,0,43,3,1,-1,0
18.63,197,2,2,56,1,0,119.97,0,0,72,4,0,-1,0
4.92,271,0,2,8,1,3,87.58,0,1,28,1,0,3,0
6.21,346,1,2,65,2,1,96.4,0,0,71,3,0,6,0
110.32,461,5,2,55,2,2,82.96,0,0,32,3,0,6,0
7.17,231,1,4,10,0,2,107.84,1,1,38,0,1,10,0
8.35,226,2,3,19,1,0,115.29,0,0,44,1,0,6,0
87.32,290,3,3,48,2,3,121.9,0,0,39,0,0,10,0
200.0,241,0,4,53,3,0,268.33,1,0,30,1,0,10,0
7.87,193,4,2,54,1,0,114.51,0,1,26,1,1,9,0
14.96,150,2,3,39,1,1,129.06,0,0,30,3,1,6,0
26.4,70,0,3,21,2,2,136.69,2,1,56,2,0,-1,0
80.07,340,1,4,15,2,3,137.81,2,1,22,3,1,3,0
9.12,324,3,4,21,1,1,137.57,2,1,57,3,0,9,0
16.51,281,1,4,56,1,2,130.95,1,0,35,3,0,6,1
37.41,312,0,1,45,1,3,72.23,0,1,63,1,0,-1,0
28.44,208,1,3,44,0,0,77.36,0,0,22,1,0,0,0
14.87,800,1,1,49,2,1,86.63,0,0,29,3,0,7,0
18.05,435,1,2,25,0,0,68.96,0,0,48,1,0,8,0
6.69,800,0,4,40,2,2,137.1,1,1,41,4,0,-1,0
16.6,147,0,2,8,0,3,67.53,0,0,40,1,1,9,0
16.23,225,0,3,4,3,1,254.98,0,0,37,3,1,6,0
24.19,225,0,3,68,3,0,240.07,1,0,65,0,0,6,0
12.88,647,1,4,6,2,0,132.15,0,0,55,3,1,-1,0
29.29,55,3,3,41,1,0,115.1,0,1,73,0,0,10,0
45.16,361,1,4,53,1,1,131.59,0,0,62,3,0,0,1
22.74,273,1,4,40,1,2,143.31,0,0,38,3,0,7,0
26.61,508,3,2,64,1,0,105.57,0,0,44,3,0,10,0
20.96,165,0,2,39,2,3,110.9,0,0,38,3,1,3,0
20.09,72,2,3,60,1,0,127.72,1,0,37,1,0,7,0
11.28,800,0,2,25,1,2,118.68,0,0,34,3,1,10,0
25.87,242,2,2,10,2,1,102.01,0,1,30,2,0,-1,0
18.58,477,4,4,48,2,3,135.02,1,0,25,1,0,8,0
107.18,197,3,4,16,0,3,108.97,2,1,54,1,0,2,0
70.72,543,0,4,9,3,1,252.97,0,0,50,3,1,10,0
27.35,420,3,3,12,1,2,120.71,1,0,48,4,0,10,0
10.91,576,0,3,31,1,0,135.5,0,0,35,1,0,-1,0
8.25,194,3,4,58,0,0,105.49,2,0,48,3,0,-1,0
52.09,631,4,3,70,3,2,242.56,0,0,62,3,0,4,0
24.78,354,3,2,69,1,3,97.68,2,1,39,2,1,10,0
29.49,68,2,2,60,2,2,113.99,0,0,45,0,1,10,0
4.97,636,3,1,51,2,2,71.91,0,1,54,3,1,7,0
42.18,367,0,3,29,2,0,106.79,0,0,72,1,0,-1,0
28.89,199,2,4,26,1,2,114.87,0,0,54,3,1,4,0
8.26,223,3,1,67,2,0,74.66,0,1,63,4,0,-1,0
13.77,121,1,3,52,1,3,121.72,0,1,50,1,0,10,0
24.8,272,2,3,14,2,1,131.8,0,1,65,0,1,6,0
20.95,361,0,1,57,1,2,78.39,0,1,46,3,0,3,0
15.9,265,5,4,61,2,3,120.08,0,0,34,1,1,-1,0
18.49,288,2,1,8,1,3,101.92,0,0,18,1,0,7,0
16.42,167,5,4,2,2,0,116.1,0,1,52,3,0,9,0
22.69,128,0,3,63,2,2,124.0,1,0,54,1,0,6,0
65.18,251,5,1,32,1,3,73.81,0,0,72,3,0,10,0
2.58,294,2,2,5,2,1,96.87,0,0,60,0,1,-1,0
16.62,184,2,4,13,1,0,140.53,0,1,72,2,0,8,0
23.13,341,1,1,66,3,2,227.55,0,0,58,4,0,3,0
25.45,449,2,3,42,1,2,113.62,2,0,54,2,0,-1,0
14.92,485,3,4,22,1,0,132.71,0,0,62,3,1,-1,0
4.93,174,3,3,14,2,0,116.99,0,0,73,1,0,10,0
26.11,76,0,4,1,2,1,114.27,0,0,57,1,0,1,1
79.99,331,8,1,61,1,2,99.48,1,0,70,3,1,9,0
5.89,200,0,3,28,0,3,84.27,0,0,63,0,0,10,0
40.09,249,1,1,2,0,3,63.65,0,1,72,3,1,-1,0
15.44,174,4,4,55,2,2,136.24,0,0,56,3,1,10,0
19.12,769,0,4,24,2,0,119.69,0,0,50,1,0,-1,0
8.65,183,1,1,17,2,1,77.32,1,1,58,3,1,6,0
15.37,800,2,4,1,1,3,132.47,1,0,50,2,1,9,0
56.83,422,4,4,65,3,3,239.17,0,1,32,3,0,4,0
32.01,511,1,4,13,1,3,134.52,0,0,38,1,0,-1,0
80.31,223,5,3,14,1,1,120.52,0,1,54,3,0,-1,0
51.52,136,9,2,33,0,3,72.12,2,0,28,2,0,10,0
28.54,400,1,4,4,2,2,104.93,0,0,43,1,0,1,0
81.06,311,2,3,57,3,0,251.0,0,1,35,1,1,5,0
28.54,172,1,2,20,1,0,93.87,0,1,31,1,1,3,0
38.95,403,2,1,41,2,0,98.76,0,0,37,1,0,2,0
15.84,369,1,3,24,2,3,108.7,0,1,21,2,1,-1,0
21.18,73,0,2,6,1,3,117.68,0,0,27,3,0,-1,0
11.5,377,1,2,3,2,2,76.98,0,0,57,1,0,7,0
44.33,481,4,1,4,2,0,80.5,0,0,25,3,0,-1,0
7.83,84,0,2,14,1,0,116.9,0,0,45,3,0,1,1
37.56,800,2,1,39,2,1,83.38,1,0,71,1,0,2,0
17.24,653,0,4,44,1,0,153.76,0,0,18,4,0,0,0
51.26,73,1,3,58,2,1,109.28,0,0,54,0,1,10,0
36.62,190,1,3,64,1,1,112.56,1,0,73,4,0,-1,0
86.19,130,0,3,5,1,0,135.17,0,0,72,1,1,5,1
36.04,106,3,1,45,2,1,75.68,1,0,39,3,0,10,0
5.71,304,3,3,6,2,2,128.4,0,0,66,3,0,-1,0
19.04,271,0,3,49,0,3,81.87,1,0,22,4,0,0,0
7.86,129,1,2,56,1,1,119.36,0,1,55,0,0,10,0
13.27,140,2,3,16,3,1,250.69,0,0,50,0,0,9,0
67.29,246,2,3,39,1,0,124.25,0,0,31,3,1,-1,0
33.45,326,3,3,64,3,1,251.74,1,1,35,4,0,-1,0
11.48,137,5,4,64,2,2,125.19,4,0,22,4,0,4,0
8.93,256,0,3,17,1,3,131.79,1,0,67,4,1,4,0
20.62,360,3,3,46,2,0,92.82,0,0,20,1,1,3,0
7.59,464,3,3,57,0,1,78.74,1,0,67,0,0,1,0
11.74,300,1,3,22,1,1,124.59,0,0,26,1,0,8,0
25.78,273,0,3,25,2,0,128.87,0,1,66,1,0,7,0
50.62,207,1,3,19,2,1,124.11,0,0,52,3,1,1,0
32.69,183,1,4,37,2,1,121.78,1,0,48,4,1,-1,0
3.21,277,1,1,31,3,2,214.83,0,0,40,3,0,7,0
25.62,261,3,2,68,2,2,102.15,0,0,34,4,1,8,0
21.28,326,1,2,67,1,1,105.71,2,1,62,3,0,6,0
27.97,143,1,2,56,1,2,111.86,0,0,53,3,0,-1,0
73.18,383,0,1,44,0,0,63.74,0,0,63,3,0,-1,0
3.86,84,1,3,61,1,3,115.77,0,0,19,1,0,-1,0
12.52,394,0,1,11,3,0,218.37,0,0,36,0,0,4,0
32.22,210,4,1,47,1,1,102.26,1,1,61,1,0,3,0
5.67,110,3,4,2,2,1,122.76,1,1,50,1,1,6,0
65.42,111,3,2,1,0,2,63.89,0,0,59,3,0,10,0
26.97,359,3,1,58,0,1,48.54,3,0,31,1,1,3,1
39.54,267,1,2,69,1,0,114.04,0,0,50,1,0,-1,0
12.72,282,2,1,46,0,2,53.33,0,1,35,1,1,10,0
38.51,214,0,1,37,1,2,85.38,0,1,60,0,1,3,0
47.22,184,3,1,61,0,0,43.24,0,0,52,1,0,3,0
24.2,266,2,1,57,0,0,55.2,1,0,27,4,0,-1,0
24.23,238,1,3,4,2,2,133.16,0,1,31,4,0,1,0
24.94,143,4,3,39,2,3,99.17,0,0,56,4,0,-1,0
10.07,75,5,1,54,1,3,74.52,1,0,58,1,0,-1,0
17.85,149,0,3,46,3,0,238.94,1,1,42,3,0,10,0
17.78,272,2,2,23,2,0,107.52,0,0,57,2,0,4,0
27.3,436,1,4,26,2,3,125.79,2,0,42,0,1,-1,0
44.69,60,1,2,3,2,1,98.55,0,0,58,4,0,7,0
8.61,172,3,1,37,1,1,90.79,2,0,70,1,1,0,0
18.17,283,4,3,50,1,2,135.88,0,0,26,3,1,0,0
65.7,266,3,4,38,0,0,95.37,0,0,20,3,0,10,0
11.08,253,1,2,2,2,1,102.63,0,0,59,2,0,4,0
10.4,169,1,3,7,2,0,123.82,0,0,30,3,1,-1,0
23.61,141,3,1,1,2,0,88.08,0,0,47,1,0,1,0
39.47,334,0,2,35,3,2,232.26,0,0,67,3,1,-1,0
20.27,286,0,1,71,3,2,204.76,0,0,51,3,1,7,0
58.16,231,0,4,27,2,0,130.44,0,0,42,3,1,-1,0
39.86,800,2,3,7,1,0,134.11,0,0,66,1,1,2,0
39.39,572,3,3,25,2,3,118.34,0,1,36,3,0,-1,0
31.29,344,4,1,3,1,3,92.8,0,0,59,3,0,6,1
129.3,466,0,1,27,2,2,67.43,0,0,53,1,0,0,1
17.05,384,1,2,58,0,0,79.18,2,0,63,2,0,5,0
4.04,201,6,2,57,1,1,113.37,0,0,32,3,1,-1,0
72.49,112,0,2,65,1,2,117.23,0,0,37,1,0,-1,0
13.93,480,1,1,10,0,0,48.17,1,0,48,3,0,10,0
21.9,242,2,2,22,3,0,235.84,0,0,51,0,0,1,0
57.26,459,7,4,15,0,0,109.07,1,0,32,3,0,-1,0
5.57,433,0,2,15,2,3,118.04,1,1,27,2,1,1,0
7.38,85,0,1,1,3,2,211.47,0,0,72,1,1,-1,0
5.58,379,0,2,24,2,1,88.24,0,0,71,3,0,1,0
10.64,800,0,3,32,2,0,125.65,0,0,71,3,1,8,0
28.55,215,4,3,35,1,1,131.96,0,1,72,3,1,-1,0
30.55,312,1,1,52,2,2,86.3,1,0,73,0,0,10,0
25.05,507,2,2,40,2,2,102.19,0,0,59,1,1,10,0
6.49,87,3,4,14,0,3,86.29,0,0,64,1,0,1,0
3.16,58,0,1,48,1,0,87.32,0,0,25,3,0,10,0
20.98,219,0,4,10,1,2,140.47,0,0,55,4,1,3,0
13.77,81,0,4,28,2,0,130.98,0,1,35,0,0,7,0
29.01,628,1,1,43,2,2,78.74,1,0,31,2,0,10,0
35.22,447,0,4,35,1,0,154.02,1,0,70,3,0,2,0
22.43,608,2,3,27,2,2,102.69,0,0,30,1,0,0,0
36.9,237,1,2,56,0,3,77.13,0,0,64,2,1,-1,0
24.13,536,1,1,62,3,2,212.25,0,1,74,1,0,4,0
30.69,261,1,2,10,2,2,118.99,2,0,72,3,0,1,0
11.43,324,7,3,44,1,1,123.85,1,1,30,3,0,-1,0
17.4,800,1,4,16,3,3,251.97,0,0,44,2,0,8,0
